# BUSCO version is: 3.0.1 
# The lineage dataset is: metazoa_odb9 (Creation date: 2016-02-13, number of species: 65, number of BUSCOs: 978)
# To reproduce this run: python run_BUSCO.py -i platy.falcon.fa -o busco_platy_falcon_pacbio -l /g/arendt/kevin/Genome_Analysis/BUSCO/BUSCO_lineages/metazoa_odb9/ -m genome -c 1 --long -sp fly
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG091G03ZS	Complete	001217F	65974	84575	555.1	378
EOG091G040D	Complete	011032F	14131	50225	449.7	490
EOG091G040G	Complete	000043F	1438720	1451956	699.5	437
EOG091G040L	Complete	000738F	193402	229691	523.4	347
EOG091G046H	Complete	000084F	401117	437466	495.7	638
EOG091G046Y	Complete	007846F	43645	62612	763.0	475
EOG091G048B	Complete	001413F	200	18528	110.7	171
EOG091G0495	Fragmented	013999F	22972	26929	204.5	140
EOG091G049W	Complete	006693F	81987	89477	366.8	220
EOG091G04CK	Complete	000043F	379808	400048	554.7	599
EOG091G04D1	Complete	000141F	715373	738920	476.1	477
EOG091G04EX	Complete	004825F	45808	75236	356.0	317
EOG091G04FV	Complete	014927F	183	27761	191.7	329
EOG091G04GK	Complete	002042F	171984	199599	328.3	469
EOG091G04GW	Complete	000182F	31741	63585	434.1	374
EOG091G04IK	Complete	004367F	90416	111326	156.4	219
EOG091G04JK	Complete	005516F	33941	39987	324.6	458
EOG091G04LC	Complete	000291F	302624	328369	304.4	382
EOG091G04MA	Complete	001435F	36429	74938	161.9	229
EOG091G04RS	Complete	003348F	65534	93267	233.8	203
EOG091G04WH	Complete	000375F	11679	38900	563.1	471
EOG091G050A	Complete	001690F	474	8607	118.6	157
EOG091G050Q	Complete	004238F	65987	80201	558.0	275
EOG091G0525	Complete	000615F	317876	357722	168.2	397
EOG091G0530	Missing
EOG091G053A	Complete	009914F	34249	63809	405.9	246
EOG091G053D	Complete	008909F	21737	41969	218.4	265
EOG091G053R	Complete	001453F	195388	202538	190.5	356
EOG091G054P	Complete	011056F	18900	43342	51.6	82
EOG091G0554	Complete	000360F	426091	456759	431.5	349
EOG091G057L	Complete	000572F	111763	126658	205.3	484
EOG091G059G	Fragmented	015831F	462	8200	239.7	196
EOG091G05AA	Complete	003727F	52197	60409	506.4	344
EOG091G05AH	Complete	000499F	214275	226643	335.7	287
EOG091G05CI	Complete	006503F	52447	80231	333.3	411
EOG091G05D7	Complete	000226F	83336	106102	248.7	336
EOG091G05EU	Duplicated	003370F	31139	60914	458.0	472
EOG091G05EU	Duplicated	006590F	16536	40100	389.9	357
EOG091G05FE	Complete	001049F	114685	125717	283.8	325
EOG091G05GZ	Complete	000695F	101601	110494	535.0	494
EOG091G05IH	Complete	013199F	17310	41833	427.8	443
EOG091G05IK	Complete	006574F	39914	58857	512.8	403
EOG091G05K5	Complete	000130F	389812	400907	556.4	352
EOG091G05K7	Complete	000375F	41720	68738	380.3	597
EOG091G05KR	Complete	007016F	6037	12692	524.3	380
EOG091G05LX	Complete	006593F	3016	16828	258.7	348
EOG091G05N4	Complete	000185F	241349	257907	393.8	399
EOG091G05NK	Complete	000003F	2522804	2554673	319.0	489
EOG091G05NZ	Complete	000880F	59523	67462	214.0	385
EOG091G05OR	Fragmented	003635F	141520	144546	267.8	180
EOG091G05OW	Complete	003295F	58129	93553	675.0	463
EOG091G05Q0	Complete	002870F	125521	166354	200.6	208
EOG091G05Q6	Complete	000135F	653962	679887	425.7	372
EOG091G05RA	Complete	000842F	58554	75061	231.7	266
EOG091G05SE	Complete	009569F	40552	64590	631.3	446
EOG091G05T4	Complete	000193F	424204	445922	257.9	267
EOG091G05TG	Complete	004474F	17108	40932	554.3	443
EOG091G05UF	Complete	000168F	78864	110805	499.4	431
EOG091G05X1	Complete	008529F	20169	26311	229.4	311
EOG091G05XY	Complete	006764F	49000	76273	328.1	370
EOG091G05YC	Complete	000074F	200859	225301	218.2	327
EOG091G05ZE	Complete	000169F	617148	629394	490.6	361
EOG091G05ZJ	Complete	012789F	15510	16859	180.5	147
EOG091G060D	Complete	008019F	31346	39259	232.6	244
EOG091G0627	Complete	000022F	2280514	2310072	248.2	320
EOG091G0628	Complete	012097F	16378	50264	514.2	410
EOG091G062X	Missing
EOG091G065D	Fragmented	002088F	153411	158206	202.4	195
EOG091G066W	Complete	001279F	95199	119104	314.4	483
EOG091G069C	Fragmented	007837F	36190	43381	219.6	185
EOG091G06CB	Complete	000045F	197747	221333	379.1	340
EOG091G06DH	Complete	008127F	46000	61939	422.1	344
EOG091G06EF	Fragmented	001037F	262874	267066	263.4	194
EOG091G06HP	Complete	000077F	507706	534739	433.0	295
EOG091G06I3	Fragmented	020066F	7635	15169	117.4	89
EOG091G06I8	Complete	000091F	152197	185942	489.4	356
EOG091G06J6	Complete	008692F	21907	61845	135.5	178
EOG091G06JJ	Duplicated	003918F	52190	80504	210.6	155
EOG091G06JJ	Duplicated	007003F	54780	76834	219.8	150
EOG091G06LW	Complete	002574F	66155	104488	557.2	373
EOG091G06M8	Complete	012088F	7007	9425	296.4	288
EOG091G06MR	Complete	006107F	42649	44402	465.1	333
EOG091G06OM	Complete	012860F	9556	15689	568.4	368
EOG091G06ON	Complete	000420F	238754	247951	309.4	270
EOG091G06OP	Complete	000556F	182411	208896	230.7	345
EOG091G06P4	Complete	000084F	444684	455415	379.7	324
EOG091G06QP	Complete	000018F	2211688	2235976	337.7	376
EOG091G06S3	Complete	000187F	758158	801660	374.6	354
EOG091G06U0	Complete	004646F	81995	115153	336.7	238
EOG091G06XK	Complete	005837F	87534	95651	325.5	313
EOG091G06Y3	Complete	000981F	203766	231505	377.9	358
EOG091G06Y7	Complete	000038F	381847	408009	501.2	390
EOG091G06YD	Complete	003927F	60818	71841	159.3	199
EOG091G0703	Complete	013089F	22060	38005	472.0	452
EOG091G073F	Complete	000464F	432522	441265	601.3	356
EOG091G074G	Complete	001120F	197125	218353	360.7	326
EOG091G074J	Complete	004444F	54096	74934	156.4	254
EOG091G074U	Fragmented	005781F	36140	52393	148.3	117
EOG091G075F	Complete	012236F	18964	36112	207.7	223
EOG091G075K	Complete	000525F	1	24086	353.5	241
EOG091G0769	Complete	000111F	523687	550983	417.1	320
EOG091G0781	Missing
EOG091G078D	Complete	010260F	22985	54777	249.7	215
EOG091G079R	Complete	000237F	464849	473141	572.0	310
EOG091G07CE	Complete	009656F	31257	59726	596.6	386
EOG091G07D9	Complete	000399F	214558	246412	322.0	210
EOG091G07DR	Fragmented	000017F	689102	690770	428.8	314
EOG091G07EJ	Complete	000058F	1333945	1359486	155.8	216
EOG091G07FP	Complete	000018F	174213	187011	236.0	252
EOG091G07IK	Complete	002555F	89752	121444	296.3	367
EOG091G07IY	Complete	000017F	1127836	1154903	454.0	351
EOG091G07KC	Complete	000077F	690209	718802	344.8	330
EOG091G07KL	Complete	009699F	20404	37789	598.3	503
EOG091G07N5	Complete	000066F	957468	968217	209.8	222
EOG091G07N8	Complete	007229F	49081	75875	146.6	263
EOG091G07NJ	Complete	003554F	112179	139564	273.4	339
EOG091G07OD	Complete	004422F	52737	78390	437.3	361
EOG091G07PH	Complete	001883F	56868	80901	106.5	159
EOG091G07PR	Complete	000220F	694778	714319	470.6	325
EOG091G07PV	Complete	000572F	142945	164684	654.1	444
EOG091G07Q3	Complete	002532F	70135	109116	215.8	233
EOG091G07QN	Complete	005690F	51973	72364	278.0	315
EOG091G07S9	Complete	000392F	175940	207230	422.3	399
EOG091G07VQ	Complete	014032F	688	35189	153.3	160
EOG091G07Z0	Complete	003126F	8226	33204	291.4	252
EOG091G07Z1	Complete	001109F	45144	52611	323.3	272
EOG091G07Z5	Complete	005648F	12751	33348	376.1	258
EOG091G0803	Fragmented	011893F	21110	22494	213.7	177
EOG091G0814	Fragmented	006248F	84983	87478	66.0	92
EOG091G081C	Duplicated	001531F	22680	47597	361.4	316
EOG091G081C	Duplicated	006599F	15361	42743	345.0	293
EOG091G081H	Complete	004063F	52675	89264	333.0	404
EOG091G085U	Complete	013384F	16920	41345	190.7	225
EOG091G087E	Complete	011678F	449	22735	330.4	415
EOG091G088L	Complete	000639F	10840	41996	323.0	342
EOG091G089T	Complete	012535F	5962	42120	349.3	353
EOG091G08BK	Complete	003023F	154776	163389	545.4	452
EOG091G08D1	Complete	019655F	963	15131	115.4	325
EOG091G08DN	Complete	011587F	5441	30755	403.4	329
EOG091G08FX	Complete	011149F	9171	32935	483.0	299
EOG091G08IJ	Duplicated	002886F	115530	153599	232.9	256
EOG091G08IJ	Duplicated	006651F	2666	30309	223.8	231
EOG091G08JE	Fragmented	002482F	177968	179377	108.9	76
EOG091G08JG	Complete	007102F	20785	27859	156.0	250
EOG091G08L8	Complete	009837F	40818	61893	192.4	248
EOG091G08LT	Complete	006107F	24529	33063	272.2	233
EOG091G08NN	Complete	000253F	286977	310362	252.9	287
EOG091G08O3	Complete	004134F	276	25973	420.9	329
EOG091G08PW	Complete	014132F	4240	28993	174.3	246
EOG091G08R8	Complete	014296F	4008	29150	250.1	344
EOG091G08RU	Complete	007518F	30165	72398	382.4	321
EOG091G08SM	Missing
EOG091G08UU	Complete	003526F	88335	107307	152.7	152
EOG091G08V8	Complete	000131F	488404	512535	176.3	279
EOG091G08VB	Complete	000084F	254558	272403	180.8	203
EOG091G08Y9	Complete	000377F	233006	238250	251.2	201
EOG091G08ZG	Complete	000625F	304513	334639	215.9	267
EOG091G08ZR	Complete	000095F	102267	114669	270.9	255
EOG091G090D	Complete	000018F	226848	251557	280.8	234
EOG091G095O	Fragmented	000162F	898191	920148	217.2	233
EOG091G096V	Duplicated	000692F	11295	40831	431.4	335
EOG091G096V	Duplicated	000944F	175347	207339	477.5	340
EOG091G0977	Fragmented	013693F	19215	33818	141.6	166
EOG091G0990	Complete	006390F	38809	53917	176.7	250
EOG091G099D	Fragmented	019894F	1690	14033	141.7	190
EOG091G09BP	Complete	000855F	221703	258677	397.0	326
EOG091G09D8	Complete	011875F	1566	23255	299.8	261
EOG091G09FV	Complete	005444F	72103	106398	359.4	273
EOG091G09GA	Complete	000066F	27858	42180	140.2	240
EOG091G09GO	Complete	000031F	1301655	1306138	515.2	292
EOG091G09HG	Complete	001713F	1817	31970	531.9	412
EOG091G09HR	Complete	000313F	316093	335763	414.0	284
EOG091G09IW	Complete	007870F	63774	79310	179.6	361
EOG091G09J7	Complete	002852F	34067	73580	212.5	255
EOG091G09KI	Complete	004620F	32626	52863	163.7	177
EOG091G09KK	Complete	003174F	15473	36867	179.9	195
EOG091G09KX	Complete	006120F	1106	11840	337.2	264
EOG091G09L6	Duplicated	003078F	19281	43208	180.1	147
EOG091G09L6	Duplicated	014124F	1891	27425	181.6	161
EOG091G09MD	Complete	003697F	64386	93515	266.2	278
EOG091G09MU	Complete	001653F	146860	174182	323.3	295
EOG091G09O7	Complete	004042F	55588	79211	110.5	278
EOG091G09Q2	Complete	017086F	5459	23634	259.9	342
EOG091G09QO	Complete	000246F	601756	625125	197.4	240
EOG091G09R0	Complete	004089F	64483	87726	189.3	177
EOG091G09RJ	Duplicated	004470F	31816	58897	122.2	142
EOG091G09RJ	Duplicated	006047F	92285	105984	128.3	178
EOG091G09SS	Complete	002050F	136472	171565	204.3	259
EOG091G09T3	Complete	000209F	613958	639052	295.3	280
EOG091G09T6	Complete	000952F	160110	172683	150.9	240
EOG091G09U9	Complete	001877F	44441	46766	432.9	277
EOG091G09UA	Complete	011724F	9018	22085	141.9	178
EOG091G09UB	Complete	002421F	156287	181905	385.4	312
EOG091G09V2	Complete	000042F	199284	213966	455.0	383
EOG091G09YB	Fragmented	011632F	43914	44556	80.7	110
EOG091G0A0M	Fragmented	013089F	36547	38668	214.0	132
EOG091G0A19	Complete	013517F	4088	39872	300.8	451
EOG091G0A27	Complete	005072F	36530	38170	181.0	203
EOG091G0A2I	Complete	007978F	62291	77841	438.1	245
EOG091G0A2L	Missing
EOG091G0A5N	Complete	000612F	240720	261457	196.4	251
EOG091G0A79	Duplicated	004113F	1	7742	234.4	248
EOG091G0A79	Duplicated	013896F	11916	24286	244.8	256
EOG091G0A98	Complete	001151F	102755	113525	317.2	254
EOG091G0AE2	Fragmented	000019F	802608	804643	91.0	79
EOG091G0AE9	Fragmented	010556F	22563	28381	200.5	170
EOG091G0AEH	Complete	000540F	147728	152693	247.3	215
EOG091G0AEL	Complete	001849F	190998	209462	433.5	280
EOG091G0AFP	Complete	000209F	50748	93330	252.4	187
EOG091G0AGM	Complete	000006F	1275564	1286977	215.2	188
EOG091G0AGT	Complete	013206F	25981	37538	148.0	279
EOG091G0AHJ	Complete	000267F	93740	130808	292.7	270
EOG091G0AI5	Complete	000504F	82841	99156	383.7	439
EOG091G0AJ6	Complete	010851F	23035	42748	291.0	270
EOG091G0AKM	Complete	000406F	358616	378443	362.2	311
EOG091G0AKW	Complete	010733F	1	26425	345.9	255
EOG091G0AO6	Complete	001303F	205743	229072	321.6	248
EOG091G0AOO	Complete	001457F	161541	188745	431.3	309
EOG091G0AQA	Complete	001791F	144483	171801	226.8	287
EOG091G0ARE	Complete	000264F	295888	302347	189.2	292
EOG091G0ARL	Complete	000018F	170672	178837	119.1	161
EOG091G0AU6	Complete	006087F	77627	83586	204.9	216
EOG091G0AVA	Complete	002852F	23885	33203	310.7	249
EOG091G0AVP	Complete	002842F	137749	162260	313.4	348
EOG091G0AVW	Complete	003485F	69304	82081	251.6	271
EOG091G0AX1	Complete	000074F	1084708	1112995	215.9	238
EOG091G0AYM	Complete	003947F	32597	56444	269.3	258
EOG091G0AZ7	Complete	003380F	34898	37348	132.4	166
EOG091G0AZV	Complete	001251F	152457	178966	190.0	229
EOG091G0B27	Complete	001876F	66142	70546	345.4	306
EOG091G0B2N	Duplicated	002762F	51860	68393	327.8	206
EOG091G0B2N	Duplicated	012986F	1977	41566	301.7	241
EOG091G0B9B	Complete	000285F	438004	458642	305.8	255
EOG091G0B9T	Complete	000014F	323381	363898	498.1	269
EOG091G0BAG	Duplicated	003998F	597	21828	146.8	116
EOG091G0BAG	Duplicated	007891F	40576	47688	166.7	118
EOG091G0BAM	Complete	008135F	33866	34739	285.7	153
EOG091G0BBO	Complete	000220F	557576	573523	424.5	260
EOG091G0BCO	Complete	008909F	1	21625	214.3	175
EOG091G0BDT	Duplicated	009938F	9834	51408	320.3	184
EOG091G0BDT	Duplicated	014000F	2010	17636	314.3	194
EOG091G0BED	Complete	000329F	1	66365	202.3	225
EOG091G0BG4	Duplicated	000003F	1663344	1711128	140.7	207
EOG091G0BG4	Duplicated	000003F	1711180	1733512	136.1	246
EOG091G0BHP	Complete	009109F	2108	12755	573.3	293
EOG091G0BHV	Complete	000330F	448220	467843	311.7	193
EOG091G0BKI	Complete	012077F	22616	25279	47.7	141
EOG091G0BKR	Duplicated	000773F	81034	104583	430.1	286
EOG091G0BKR	Duplicated	003847F	19728	40645	459.6	287
EOG091G0BKX	Missing
EOG091G0BKZ	Complete	005478F	14766	35319	162.1	231
EOG091G0BL9	Complete	004195F	1	27655	413.1	251
EOG091G0BN4	Fragmented	001401F	173806	198243	69.2	45
EOG091G0BNI	Fragmented	003962F	125761	130465	205.7	173
EOG091G0BPU	Fragmented	019102F	8680	13355	211.0	127
EOG091G0BPX	Fragmented	000910F	245752	252344	113.8	146
EOG091G0BQF	Complete	013251F	19856	39260	413.9	330
EOG091G0BTX	Complete	000058F	1448570	1472155	422.1	238
EOG091G0BUD	Complete	008530F	27313	54547	73.1	168
EOG091G0BUH	Complete	000413F	377042	387546	422.4	248
EOG091G0BWJ	Missing
EOG091G0BX3	Complete	000418F	397580	432927	224.7	381
EOG091G0C2M	Complete	010209F	7442	32995	303.5	317
EOG091G0C2Z	Fragmented	012911F	20107	42509	186.3	168
EOG091G0C6I	Complete	009250F	54285	61730	296.3	368
EOG091G0C7Y	Complete	000254F	543126	584416	289.3	241
EOG091G0C84	Complete	015197F	18113	32751	326.1	244
EOG091G0C8H	Duplicated	000866F	262656	279955	350.5	283
EOG091G0C8H	Duplicated	009546F	15884	23065	383.7	329
EOG091G0C9Y	Complete	004959F	26412	39305	311.7	244
EOG091G0CAR	Complete	005215F	64237	81381	480.3	278
EOG091G0CEG	Complete	001049F	203145	214435	201.8	191
EOG091G0CEK	Missing
EOG091G0CEW	Complete	000066F	989677	995314	288.9	231
EOG091G0CF7	Complete	000074F	1051841	1073237	143.7	185
EOG091G0CFP	Complete	002147F	48483	56646	309.3	239
EOG091G0CGO	Missing
EOG091G0CH6	Duplicated	000073F	45984	89325	225.2	285
EOG091G0CH6	Duplicated	007489F	1796	55980	215.7	275
EOG091G0CID	Complete	000031F	496894	499404	210.6	226
EOG091G0CLR	Complete	000169F	603015	614979	321.9	330
EOG091G0CMN	Complete	002582F	43216	49647	81.1	112
EOG091G0CNT	Complete	000195F	551076	576090	248.9	218
EOG091G0COC	Complete	005087F	66748	102969	299.4	283
EOG091G0CQ2	Complete	000198F	342230	345468	168.5	182
EOG091G0CR4	Complete	001071F	96390	121117	227.6	185
EOG091G0CSZ	Complete	001340F	194539	206729	270.1	180
EOG091G0CTG	Duplicated	000924F	88097	128006	244.0	224
EOG091G0CTG	Duplicated	006623F	15050	71725	267.0	221
EOG091G0CTU	Complete	004907F	111650	117009	193.3	240
EOG091G0CW2	Complete	000853F	43954	67028	216.7	235
EOG091G0CXE	Complete	017322F	19698	21397	43.2	121
EOG091G0CZX	Complete	003819F	120610	123727	304.3	202
EOG091G0D04	Complete	017255F	4886	11205	269.8	187
EOG091G0D0D	Missing
EOG091G0D0W	Complete	000068F	123735	146899	228.6	297
EOG091G0D26	Duplicated	001172F	199535	209681	360.1	229
EOG091G0D26	Duplicated	002220F	140110	145006	313.5	223
EOG091G0D4N	Complete	000039F	858090	871128	348.1	314
EOG091G0D7V	Missing
EOG091G0D8I	Complete	010558F	606	21345	263.0	221
EOG091G0D8N	Complete	003146F	122049	130113	395.6	324
EOG091G0DBF	Complete	002683F	132490	150911	492.8	399
EOG091G0DLW	Complete	001060F	168305	188295	320.0	311
EOG091G0DND	Complete	009089F	41998	64950	295.6	274
EOG091G0DPL	Complete	000519F	326632	346500	112.8	144
EOG091G0DQ3	Complete	000131F	294166	307537	167.5	148
EOG091G0DQS	Fragmented	001099F	21172	27891	134.5	162
EOG091G0DQT	Duplicated	000103F	1129228	1136369	163.9	220
EOG091G0DQT	Duplicated	008473F	37711	41291	189.2	234
EOG091G0DRZ	Complete	002243F	122630	133283	198.6	155
EOG091G0DTB	Complete	006504F	3829	6149	204.4	205
EOG091G0DTD	Complete	003334F	83751	108612	188.2	207
EOG091G0DTE	Complete	000130F	536999	569724	364.2	230
EOG091G0DTP	Fragmented	000141F	884664	886517	142.1	113
EOG091G0DUX	Complete	000722F	232790	246195	265.2	255
EOG091G0DVQ	Complete	000913F	41280	51836	376.6	254
EOG091G0DWW	Complete	008345F	8953	33465	399.9	389
EOG091G0DXC	Complete	007193F	64626	84518	168.1	142
EOG091G0DXE	Complete	000307F	27856	63195	244.3	198
EOG091G0DXP	Complete	002852F	23892	54970	233.8	197
EOG091G0DXV	Complete	011748F	4186	15684	332.7	303
EOG091G0DYU	Complete	005963F	62767	82596	181.2	177
EOG091G0DYW	Complete	001493F	116661	157535	271.6	274
EOG091G0E06	Complete	007834F	10237	39352	146.8	160
EOG091G0E11	Complete	000773F	120576	144922	143.7	131
EOG091G0E2R	Complete	015604F	6386	7287	304.8	228
EOG091G0E2X	Complete	012461F	18870	24756	135.9	139
EOG091G0E3F	Duplicated	001261F	214308	247271	286.4	259
EOG091G0E3F	Duplicated	008748F	39810	67214	306.6	257
EOG091G0E3V	Complete	000777F	190338	192936	195.1	158
EOG091G0E5O	Complete	004837F	85089	88132	218.6	212
EOG091G0E5P	Complete	001671F	122015	156590	213.8	185
EOG091G0E7S	Complete	000123F	919866	940145	336.1	255
EOG091G0E8J	Complete	011365F	1716	24739	326.6	337
EOG091G0EA2	Complete	008429F	39304	64150	184.4	159
EOG091G0EAF	Complete	000206F	504290	510922	348.8	301
EOG091G0EBA	Fragmented	011234F	52508	53286	150.2	143
EOG091G0EH8	Complete	002328F	83524	105915	245.4	210
EOG091G0EHF	Complete	000367F	197849	211177	433.1	270
EOG091G0EHY	Complete	004856F	1626	18277	334.1	246
EOG091G0EHZ	Complete	000388F	357412	386362	218.6	161
EOG091G0EKA	Complete	000033F	1565515	1574056	364.5	231
EOG091G0ELO	Missing
EOG091G0ELS	Missing
EOG091G0EM6	Missing
EOG091G0EMF	Complete	013083F	15787	25600	101.4	136
EOG091G0EO4	Missing
EOG091G0EQR	Fragmented	011151F	28393	49383	117.9	142
EOG091G0ER1	Fragmented	011308F	29644	42669	86.9	91
EOG091G0ERU	Complete	011358F	39889	44657	111.6	274
EOG091G0ES6	Complete	003998F	25493	28572	318.8	213
EOG091G0EUU	Complete	004339F	122964	127839	305.8	273
EOG091G0EVK	Complete	005353F	60242	89707	326.3	197
EOG091G0EZ8	Complete	005929F	38246	47777	279.5	286
EOG091G0EZO	Complete	003645F	1	10613	190.2	149
EOG091G0F0I	Complete	000267F	98868	125170	346.8	347
EOG091G0F70	Complete	000397F	97482	108862	62.4	127
EOG091G0F93	Complete	005864F	36783	56269	503.7	475
EOG091G0FAM	Complete	010737F	38492	46076	224.9	230
EOG091G0FH3	Complete	000206F	157739	159337	151.6	134
EOG091G0FIJ	Complete	015527F	806	14104	254.7	264
